id,fix_5,fix_7.5,fix_10,fix_12.5,fix_15,fix_17.5,fix_20,random_5,random_7.5,random_10,random_12.5,random_15,random_17.5,random_20
1,100,100,50,50,50,50,50,50,25,50,50,50,50,50
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,NA,NA,NA,NA,NA,10,10,20,10,20,20,20
4,200,250,500,600,750,850,1000,50,200,290,500,690,500,800
5,5,6,7,7,7,8,10,5,10,8,15,15,15,20
6,10,10,10,10,10,10,150,10,10,10,20,5,5,20
7,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
8,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,500
9,1,1,1,2,1,1,1,2,2,2,2,3,4,2
10,0,0,15,20,10,30,35,0,0,0,0,0,20,50
11,10,20,10,30,30,50,50,10,10,10,10,20,20,50
12,30,30,50,50,70,60,80,30,30,30,30,40,50,50
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,20,20,20,20,20,20,20,20,20,20,20,20,20,20
15,200,400,500,650,750,850,1000,100,250,500,500,750,1000,1000
16,4,20,20,15,20,50,50,20,20,20,20,20,20,20
17,20,20,20,20,20,20,20,20,20,20,20,20,20,20
18,10,10,15,20,20,50,50,0,5,10,10,15,15,20
19,200,200,250,250,400,350,500,200,400,400,570,550,500,1000
20,50,50,100,100,100,250,250,0,25,100,50,50,200,100
21,0,0,1,1,1,1,2,1,2,4,3,2,5,20
22,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
23,100,100,100,100,100,100,100,50,100,100,100,100,100,100
24,200,250,300,500,400,900,1000,200,250,400,350,300,900,1000
25,100,100,100,200,700,700,1000,100,150,100,100,100,300,500
26,250,500,500,500,500,1000,1000,50,100,250,400,500,500,750
27,5,10,15,20,25,30,35,20,30,20,25,60,50,55
28,300,100,500,800,900,1000,1000,50,300,800,500,500,800,600
29,60,55,50,45,30,28,25,60,50,40,30,30,30,28
30,50,50,100,100,200,200,200,50,50,50,100,100,100,200
31,50,50,50,100,50,200,50,50,75,100,100,100,100,200
32,5,6,7,7,9,10,10,5,6,7,6,8,9,10
33,0,0,0,0,0,0,1000,0,0,0,0,1000,1000,1000
34,1000,500,800,750,1000,850,900,NA,NA,NA,NA,NA,NA,NA
35,10,15,20,25,30,35,40,10,15,20,25,30,35,40
36,300,200,700,600,1000,500,400,100,50,300,25,400,200,500
37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,200,300,300,300,500,600,1000,500,300,1000,500,1000,700,1000
39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,100,100,100,100,100,100,100,100,100,100,100,100,100,100
42,5,5,10,6,15,15,20,5,5,10,3,20,10,20
43,50,75,100,125,150,175,200,50,50,50,100,100,100,100
44,20,20,20,20,20,20,20,20,20,20,20,20,20,20
45,200,300,500,600,700,800,1000,200,400,300,500,700,800,1000
46,5,5,5,45,45,45,62.5,5,5,10,10,35,45,75
47,10,10,30,10,20,20,30,5,5,10,10,10,10,30
