recordeddate,treatment,criterion,demo_sets_attempted,demo_sets_completed,demo_mistakes,sets_attempted,sets_completed,mistakes,gender,race,race_other,age,income,edu,econ,occupation,occupation_other,mouse,targets_achieve_attempt,sets_completed_goal,mistakes_goal,targets_ignore_reason,targets_ignore_reason_other,targets_explanation_help,fix_5,fix_7.5,fix_10,fix_12.5,fix_15,fix_17.5,fix_20,random_5,random_7.5,random_10,random_12.5,random_15,random_17.5,random_20,common_instructions_time,treatment1_instructions_time,treatment2_instructions_time,treatment3_instructions_time,treatment4_instructions_time,sample,race_other_grouped,occupation_other_grouped,completion_prop,completion_rate,mistake_rate,recorded_mistake_rate
2025-04-24T15:03:19Z,1,strict,5,5,0,23,23,1,Male,Hispanic,NA,19,"25,000 - 49,999",High school diploma,No,Student,NA,Yes,NA,25,1.5,NA,NA,NA,100,100,50,50,50,50,50,50,25,50,50,50,50,50,12.993,2.286,NA,NA,NA,lab,NA,NA,1,4.6,4.3478260869565215,4.3478260869565215
2025-04-24T15:03:56Z,3,lenient,6,6,0,30,30,0,Female,White,NA,28,"75,000 - 119,999",College degree or above,No,Professional services,NA,Yes,Yes but only for accuracy target,NA,NA,Did not care about target(s),NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.739,NA,NA,21.646,NA,lab,NA,NA,1,6,0,0
2025-04-24T15:05:18Z,3,strict,5,5,0,23,23,0,Male,White,NA,41,"120,000 - 199,999",College degree or above,Yes,Professional services,NA,Yes,Yes but only for accuracy target,25,0,Too difficult to achieve target(s),NA,No,NA,NA,NA,NA,NA,NA,NA,10,10,20,10,20,20,20,9.313,NA,NA,18.493,NA,lab,NA,NA,1,4.6,0,0
2025-04-24T15:09:01Z,4,lenient,5,5,0,28,28,2,Male,White,NA,40,"200,000 and over",College degree or above,No,Professional services,NA,No,Yes but only for accuracy target,45,4,Too difficult to achieve target(s),NA,NA,200,250,500,600,750,850,1000,50,200,290,500,690,500,800,10.193,NA,NA,NA,174.49,lab,NA,NA,1,5.6,7.142857142857142,1.7857142857142856
2025-04-24T15:09:29Z,2,strict,4,4,0,28,28,3,Female,Asian,NA,28,"50,000 - 74,999",College degree or above,No,Academia,NA,No,Yes but only for accuracy target,NA,NA,Did not care about target(s),NA,No,5,6,7,7,7,8,10,5,10,8,15,15,15,20,24.98,NA,40.35,NA,NA,lab,NA,NA,1,5.6,10.714285714285714,10.714285714285714
2025-04-24T15:10:50Z,4,lenient,5,5,1,22,22,0,Female,White,NA,30,"25,000 - 49,999",College degree or above,No,Academia,NA,Yes,Yes for both targets.,NA,0,NA,NA,NA,10,10,10,10,10,10,150,10,10,10,20,5,5,20,2.941,NA,NA,NA,2.444,lab,NA,NA,1,4.4,0,0
2025-04-24T15:11:27Z,2,lenient,4,4,1,23,23,2,Female,White,NA,47,"0 - 24,999",High school diploma,No,Managerial,NA,No,Yes for both targets.,0,0,NA,NA,No,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,48.728,NA,39.662,NA,NA,lab,NA,NA,1,4.6,8.695652173913043,2.1739130434782608
2025-04-24T15:12:21Z,4,strict,3,3,0,20,19,1,Female,White,NA,20,"120,000 - 199,999",High school diploma,No,Student,NA,No,Yes for both targets.,30,0,NA,NA,NA,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,500,73.354,NA,NA,NA,46.264,lab,NA,NA,0.95,3.8,5,5
2025-04-24T15:14:27Z,2,lenient,5,5,0,21,21,0,Female,White,NA,21,"0 - 24,999",College degree or above,No,Academia,Educational Aide,No,Yes for both targets.,45,2,NA,NA,Yes,1,1,1,2,1,1,1,2,2,2,2,3,4,2,23.878,NA,49.854,NA,NA,lab,NA,Academia,1,4.2,0,0
2025-04-24T15:15:12Z,2,lenient,3,3,0,21,21,0,Male,White,NA,39,"0 - 24,999",College degree or above,No,Other,Customer Service,Yes,Yes for both targets.,20,0,NA,NA,Yes,0,0,15,20,10,30,35,0,0,0,0,0,20,50,15.239,NA,123.974,NA,NA,lab,NA,Other,1,4.2,0,0
