RecordedDate,Finished,var_ses,treatment,criterion,demo_sets_attempted,demo_sets_completed,demo_mistakes,sets_attempted,sets_completed,mistakes,Q9.1,Q9.2,Q9.2_7_TEXT,Q9.3,Q9.4,Q9.5,Q9.6,Q9.7,Q9.7_8_TEXT,Q9.8,Q9.9,Q9.10,Q9.11,Q9.12,Q9.12_4_TEXT,Q9.13,Q10.1_1,Q10.1_3,Q10.1_4,Q10.1_5,Q10.1_6,Q10.1_2,Q10.1_7,Q11.1_1,Q11.1_3,Q11.1_4,Q11.1_5,Q11.1_6,Q11.1_2,Q11.1_9,Q2.1_Page Submit,Q1.1_Page Submit,Q2.1_Page Submit,Q3.1_Page Submit,Q4.1_Page Submit
Recorded Date,Finished,var_ses,treatment,criterion,demo_sets_attempted,demo_sets_completed,demo_mistakes,sets_attempted,sets_completed,mistakes,Gender,Race - Selected Choice,Race - Other - Text,Year of birth,Annual household income (in USD),Educational level,Did you study economics at the undergraduate level or higher?,What is your occupational type? - Selected Choice,What is your occupational type? - Other - Text,Did you use a mouse to complete the task?,Did you try to achieve the targets for the task?,"During the task, how many sets did you aim to complete?","During the task, how many mistakes did you aim to limit yourself to?","If you did not try to achieve one or both of the set targets, why? - Selected Choice","If you did not try to achieve one or both of the set targets, why? - Other - Text","Did the explanation of how to achieve both targets, including the table, make it easier and/or make you more motivated to achieve both targets?","Imagine you are asked to do the same slider task, where all mistakes made will be caught and counted, and you are paid per correctly completed set at the different rates shown below. For each rate, please indicate the number of tasks (between 0 and 1000) you would be willing to attempt. - 5 cents","Imagine you are asked to do the same slider task, where all mistakes made will be caught and counted, and you are paid per correctly completed set at the different rates shown below. For each rate, please indicate the number of tasks (between 0 and 1000) you would be willing to attempt. - 7.5 cents","Imagine you are asked to do the same slider task, where all mistakes made will be caught and counted, and you are paid per correctly completed set at the different rates shown below. For each rate, please indicate the number of tasks (between 0 and 1000) you would be willing to attempt. - 10 cents","Imagine you are asked to do the same slider task, where all mistakes made will be caught and counted, and you are paid per correctly completed set at the different rates shown below. For each rate, please indicate the number of tasks (between 0 and 1000) you would be willing to attempt. - 12.5 cents","Imagine you are asked to do the same slider task, where all mistakes made will be caught and counted, and you are paid per correctly completed set at the different rates shown below. For each rate, please indicate the number of tasks (between 0 and 1000) you would be willing to attempt. - 15 cents","Imagine you are asked to do the same slider task, where all mistakes made will be caught and counted, and you are paid per correctly completed set at the different rates shown below. For each rate, please indicate the number of tasks (between 0 and 1000) you would be willing to attempt. - 17.5 cents","Imagine you are asked to do the same slider task, where all mistakes made will be caught and counted, and you are paid per correctly completed set at the different rates shown below. For each rate, please indicate the number of tasks (between 0 and 1000) you would be willing to attempt. - 20 cents","Imagine you are asked to do the same slider task, where all mistakes made will be caught and counted, and you are paid per correctly completed set at the different rates shown below. For each rate, please indicate the number of tasks (between 0 and 1000) you would be willing to attempt. - 50% chance of 2 cents,                 50% chance of 8 cents","Imagine you are asked to do the same slider task, where all mistakes made will be caught and counted, and you are paid per correctly completed set at the different rates shown below. For each rate, please indicate the number of tasks (between 0 and 1000) you would be willing to attempt. - 50% chance of 4 cents,                 50% chance of 11 cents","Imagine you are asked to do the same slider task, where all mistakes made will be caught and counted, and you are paid per correctly completed set at the different rates shown below. For each rate, please indicate the number of tasks (between 0 and 1000) you would be willing to attempt. - 50% chance of 5 cents,                 50% chance of 15 cents","Imagine you are asked to do the same slider task, where all mistakes made will be caught and counted, and you are paid per correctly completed set at the different rates shown below. For each rate, please indicate the number of tasks (between 0 and 1000) you would be willing to attempt. - 50% chance of 6 cents,                 50% chance of 19 cents","Imagine you are asked to do the same slider task, where all mistakes made will be caught and counted, and you are paid per correctly completed set at the different rates shown below. For each rate, please indicate the number of tasks (between 0 and 1000) you would be willing to attempt. - 50% chance of 8 cents,                 50% chance of 22 cents","Imagine you are asked to do the same slider task, where all mistakes made will be caught and counted, and you are paid per correctly completed set at the different rates shown below. For each rate, please indicate the number of tasks (between 0 and 1000) you would be willing to attempt. - 50% chance of 9 cents,                 50% chance of 26 cents","Imagine you are asked to do the same slider task, where all mistakes made will be caught and counted, and you are paid per correctly completed set at the different rates shown below. For each rate, please indicate the number of tasks (between 0 and 1000) you would be willing to attempt. - 50% chance of 10 cents,               50% chance of 30 cents",Timing - Page Submit,Timing - Page Submit,Timing - Page Submit,Timing - Page Submit,Timing - Page Submit
"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""finished""}","{""ImportId"":""var_ses""}","{""ImportId"":""treatment""}","{""ImportId"":""criterion""}","{""ImportId"":""demo_sets_attempted""}","{""ImportId"":""demo_sets_completed""}","{""ImportId"":""demo_mistakes""}","{""ImportId"":""sets_attempted""}","{""ImportId"":""sets_completed""}","{""ImportId"":""mistakes""}","{""ImportId"":""QID1321315406""}","{""ImportId"":""QID1321315389""}","{""ImportId"":""QID1321315389_7_TEXT""}","{""ImportId"":""QID1321315405_TEXT""}","{""ImportId"":""QID1321315404""}","{""ImportId"":""QID1321315403""}","{""ImportId"":""QID1321315402""}","{""ImportId"":""QID1321379517""}","{""ImportId"":""QID1321379517_8_TEXT""}","{""ImportId"":""QID1321315394""}","{""ImportId"":""QID1321315387""}","{""ImportId"":""QID1321315375_TEXT""}","{""ImportId"":""QID1321315374_TEXT""}","{""ImportId"":""QID1321315373""}","{""ImportId"":""QID1321315373_4_TEXT""}","{""ImportId"":""QID1321315399""}","{""ImportId"":""QID1321315398_1""}","{""ImportId"":""QID1321315398_3""}","{""ImportId"":""QID1321315398_4""}","{""ImportId"":""QID1321315398_5""}","{""ImportId"":""QID1321315398_6""}","{""ImportId"":""QID1321315398_2""}","{""ImportId"":""QID1321315398_7""}","{""ImportId"":""QID1321315397_1""}","{""ImportId"":""QID1321315397_3""}","{""ImportId"":""QID1321315397_4""}","{""ImportId"":""QID1321315397_5""}","{""ImportId"":""QID1321315397_6""}","{""ImportId"":""QID1321315397_2""}","{""ImportId"":""QID1321315397_9""}","{""ImportId"":""QID51_PAGE_SUBMIT""}","{""ImportId"":""QID1321393363_PAGE_SUBMIT""}","{""ImportId"":""QID1321315371_PAGE_SUBMIT""}","{""ImportId"":""QID1321315370_PAGE_SUBMIT""}","{""ImportId"":""QID1321315369_PAGE_SUBMIT""}"
2025-04-22 15:40:25,True,79061,4,lenient,4,4,3,61,9,55,Non-binary,Other,test,1989,"200,000 and over",Below high school diploma,No,Other,test,No,Yes but only for accuracy target,test test test,test test test i am a test participant,Other,TEST,,3,6,5,4,2,1,7,0,0,0,0,0,0,0,3.606,,,,2.267
2025-04-22 18:33:15,True,test,1,strict,3,2,1,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.48,2.378,,,
2025-04-22 19:35:28,True,test,1,strict,1,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.118,1.185,,,
2025-04-23 10:50:17,True,79061,1,strict,4,3,1,61,0,61,Non-binary,Other,test,2000,"200,000 and over",College/ university degree or equivalent or above,,Other,test,No,,test,test,,,,0,0,0,0,0,0,0,test,test,test,test,test,test,test,2.749,7.838,,,
2025-04-23 14:36:11,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 15:45:19,True,79061,2,lenient,13,0,13,51,5,46,Male,Other,test,1900,"0 - 24,999",Below high school diploma,Yes,Other,test,Yes,Yes for both targets.,test,test,,,Yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.376,,1.632,,
2025-04-23 15:49:17,True,79061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 15:50:09,True,79061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 15:50:27,True,79061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 09:49:19,True,79061,2,lenient,10,2,8,15,2,14,Non-binary,Other,,test,"200,000 and over",Below high school diploma,No,Other,test,No,No for both targets,test test test test,test test test,Other,i am test,Yes,test,test,test,test,test,test,test,0,0,0,0,0,0,0,2.367,,12.66,,
2025-04-24 10:03:19,True,88657,1,strict,5,5,0,23,23,1,Male,Hispanic,,2006,"25,000 - 49,999",High school diploma,No,Student,,Yes,,25,1-2,,,,100,100,50,50,50,50,50,50,25,50,50,50,50,50,12.993,2.286,,,
2025-04-24 10:03:56,True,85446,3,lenient,6,6,0,30,30,0,Female,White,,1997,"75,000 - 119,999",College/ university degree or equivalent or above,No,"Professional services (e.g. accounting, banking, consulting)",,Yes,Yes but only for accuracy target,,none,Did not care about target(s),,No,,,,,,,,,,,,,,,10.739,,,21.646,
2025-04-24 10:05:18,True,54300,3,strict,5,5,0,23,23,0,Male,White,,1984,"120,000 - 199,999",College/ university degree or equivalent or above,Yes,"Professional services (e.g. accounting, banking, consulting)",,Yes,Yes but only for accuracy target,25,0,Too difficult to achieve target(s),,No,,,,,,,,10,10,20,10,20,20,20,9.313,,,18.493,
2025-04-24 10:09:01,True,83945,4,lenient,5,5,0,28,28,2,Male,White,,1985,"200,000 and over",College/ university degree or equivalent or above,No,"Professional services (e.g. accounting, banking, consulting)",,No,Yes but only for accuracy target,45,4,Too difficult to achieve target(s),,,200,250,500,600,750,850,1000,50,200,290,500,690,500,800,10.193,,,,174.49
2025-04-24 10:09:29,True,58936,2,strict,4,4,0,28,28,3,Female,Asian,,1997,"50,000 - 74,999",College/ university degree or equivalent or above,No,Academia,,No,Yes but only for accuracy target,,,Did not care about target(s),,No,5,6,7,7,7,8,10,5,10,8,15,15,15,20,24.98,,40.35,,
2025-04-24 10:10:50,True,64682,4,lenient,5,5,1,22,22,0,Female,White,,1995,"25,000 - 49,999",College/ university degree or equivalent or above,No,Academia,,Yes,Yes for both targets.,all,0,,,,10,10,10,10,10,10,150,10,10,10,20,5,5,20,2.941,,,,2.444
2025-04-24 10:11:27,True,66117,2,lenient,4,4,1,23,23,2,Female,White,,1978,"0 - 24,999",High school diploma,No,Managerial,,No,Yes for both targets.,"I aimed to complete all of them. However, I was scored incorrectly because I did not make a mistake and it scored me at a 0.5 mistake rate but I didn't make any.",0,,,No,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,48.728,,39.662,,
2025-04-24 10:12:21,True,91229,4,strict,3,3,0,20,19,1,Female,White,,2005,"120,000 - 199,999",High school diploma,No,Student,,No,Yes for both targets.,30,0,,,,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,500,73.354,,,,46.264
2025-04-24 10:14:10,True,test,4,lenient,2,1,2,8,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.675,,,,12.689
2025-04-24 10:14:27,True,91213,2,lenient,5,5,0,21,21,0,Female,White,,2004,"0 - 24,999",College/ university degree or equivalent or above,No,Other,Educational Aide,No,Yes for both targets.,45,2,,,Yes,1,1,1,2,1,1,1,2,2,2,2,3,4,2,23.878,,49.854,,
2025-04-24 10:15:12,True,89554,2,lenient,3,3,0,21,21,0,Male,White,,1986,"0 - 24,999",College/ university degree or equivalent or above,No,Other,Customer Service,Yes,Yes for both targets.,At least 20,"0. I don´t like mistakes. ",,,Yes,0,0,15,20,10,30,35,0,0,0,0,0,20,50,15.239,,123.974,,
2025-04-24 10:15:12,True,84374,1,strict,6,6,0,19,17,2,Male,White,,2006,"200,000 and over",High school diploma,No,Student,,Yes,,as many as I could before I got bored,No mistakes,,,,10,20,10,30,30,50,50,10,10,10,10,20,20,50,5.274,4.539,,,
2025-04-24 10:16:09,True,75082,4,lenient,4,4,0,20,20,0,Female,Hispanic,,1987,"75,000 - 119,999",College/ university degree or equivalent or above,No,Academia,,No,Yes for both targets.,30,0,,,,30,30,50,50,70,60,80,30,30,30,30,40,50,50,22.493,,,,30.73
2025-04-24 10:16:30,True,68863,2,lenient,6,6,0,28,28,4,Male,White,,1971,"200,000 and over",College/ university degree or equivalent or above,Yes,"Professional services (e.g. accounting, banking, consulting)",,Yes,Yes for both targets.,all,as few as possible,,,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.025,,62.458,,
2025-04-24 10:16:36,True,71483,1,strict,3,3,0,14,14,6,Female,Other,ghanaian American biracial,1971,"200,000 and over",College/ university degree or equivalent or above,No,Other,Writer,Yes,,14,0,,,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,35.191,10.74,,,
2025-04-24 10:17:04,True,89353,1,strict,4,4,0,20,20,0,Female,White,,2004,"75,000 - 119,999",College/ university degree or equivalent or above,No,Student,,No,,25,0,,,,200,400,500,650,750,850,1000,100,250,500,500,750,1000,1000,11.324,8.281,,,
2025-04-24 10:17:49,True,90798,3,lenient,4,4,0,21,21,0,Female,White,,2004,"200,000 and over",College/ university degree or equivalent or above,Yes,Student,,No,Yes but only for accuracy target,I completed 21 sets.,0,Other,n/a,Yes,4,20,20,15,20,50,50,20,20,20,20,20,20,20,20.798,,,25.584,
2025-04-24 10:17:50,True,89350,4,lenient,4,4,0,23,23,0,Male,White,,1989,"25,000 - 49,999",College/ university degree or equivalent or above,Yes,Student,,Yes,Yes for both targets.,No goal.,Zero.,,,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,11.163,,,,32.108
2025-04-24 10:18:30,True,70606,3,strict,4,4,1,21,21,3,Female,White,,2001,"25,000 - 49,999",College/ university degree or equivalent or above,No,Student,,No,Yes for both targets.,All,2,,,Yes,10,10,15,20,20,50,50,0,5,10,10,15,15,20,44.811,,,39.849,
2025-04-24 10:19:16,True,84541,1,strict,4,4,0,16,16,5,Male,Black,,2002,"50,000 - 74,999",College/ university degree or equivalent or above,No,Other,Freelance Digital Creator,No,,All,3,,,,200,200,250,250,400,350,500,200,400,400,570,550,500,1000,17.713,3.417,,,
2025-04-24 10:20:29,True,61076,4,strict,4,4,0,19,19,0,Female,White,,1974,"200,000 and over",College/ university degree or equivalent or above,No,"Professional services (e.g. accounting, banking, consulting)",,No,Yes for both targets.,100%,0,,,,50,50,100,100,100,250,250,0,25,100,50,50,200,100,8.641,,,,22.561
2025-04-24 10:21:19,True,89520,1,strict,4,1,3,20,19,2,Female,Asian,,2000,"75,000 - 119,999",College/ university degree or equivalent or above,No,Unemployed,,No,,Not sure,0,,,,0,0,1,1,1,1,2,1,2,4,3,2,5,20,1.149,0.902,,,
2025-04-24 10:21:57,True,68975,4,lenient,4,4,0,20,20,0,Female,Asian,,2005,"0 - 24,999",College/ university degree or equivalent or above,No,Academia,,No,Yes for both targets.,40,0,,,,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,13.704,,,,27.485
2025-04-24 10:22:21,True,89528,2,lenient,4,4,0,22,21,2,Non-binary,White,,2004,"0 - 24,999",High school diploma,No,Academia,,Yes,Yes for both targets.,22,0,,,Yes,100,100,100,100,100,100,100,50,100,100,100,100,100,100,12.46,,12.681,,
2025-04-24 10:22:23,True,86790,3,strict,5,5,0,24,24,0,Female,Asian,,2004,"120,000 - 199,999",High school diploma,No,Student,,Yes,Yes for both targets.,At least a 20,0 mistakes,,,Yes,200,250,300,500,400,900,1000,200,250,400,350,300,900,1000,23.349,,,32.53,
2025-04-24 10:24:01,True,55289,3,strict,4,4,0,27,27,0,Female,Black,,1995,"75,000 - 119,999",College/ university degree or equivalent or above,No,"Professional services (e.g. accounting, banking, consulting)",,Yes,Yes for both targets.,25,1,,,Yes,100,100,100,200,700,700,1000,100,150,100,100,100,300,500,20.198,,,77.048,
2025-04-24 10:25:37,True,89439,1,strict,4,4,0,23,22,1,Female,White,,2006,"120,000 - 199,999",High school diploma,No,Student,,No,,10,0,,,,250,500,500,500,500,1000,1000,Maybe 50,I would probably do like 100,I would probably do like 250,400,I would probably do 500,I would probably do like 500,750,14.664,6.998,,,
2025-04-24 10:26:12,True,88207,4,lenient,6,6,0,35,35,1,Female,Asian,,2000,"50,000 - 74,999",College/ university degree or equivalent or above,No,Academia,,Yes,Yes but only for accuracy target,45,1,Too difficult to achieve target(s),,,5,10,15,20,25,30,35,20,30,20,25,60,50,55,12.763,,,,86.385
2025-04-24 10:28:12,True,85523,2,lenient,7,5,2,27,26,1,Female,White,,2004,"200,000 and over",High school diploma,No,Student,,No,Yes but only for accuracy target,I knew I couldnt do 45 but I tried to do 45 with as much accuracy as possible.,"I wanted to limit myself to 4 mistakes, but I ended up not having time",Too difficult to achieve target(s),,Yes,300,100,500,800,900,1000,1000,50,300,800,500,500,800,600,9.051,,40.513,,
2025-04-24 10:28:22,True,90839,2,strict,4,4,0,24,24,6,Female,White,,2006,"75,000 - 119,999",High school diploma,No,Student,,No,Yes but only for accuracy target,45,5,Too difficult to achieve target(s),,Yes,60,55,50,45,30,28,25,60,50,40,30,30,30,28,42.819,,49.503,,
2025-04-24 10:32:34,True,87601,3,lenient,4,4,2,22,22,1,Male,White,,1994,"50,000 - 74,999",College/ university degree or equivalent or above,No,Other,Early Education,Yes,Yes for both targets.,"As many as possible, but I think I was more hung up on accuracy","I tried to be perfect, because I assumed that some mistakes would happen involuntarily",,,Yes,50,50,100,100,200,200,200,50,50,50,100,100,100,200,41.804,,,66.415,
