recordeddate,treatment,criterion,demo_sets_attempted,demo_sets_completed,demo_mistakes,sets_attempted,sets_completed,mistakes,gender,race,race_other,age,income,edu,econ,occupation,occupation_other,mouse,targets_achieve_attempt,sets_completed_goal,mistakes_goal,targets_ignore_reason,targets_ignore_reason_other,targets_explanation_help,fix_5,fix_7.5,fix_10,fix_12.5,fix_15,fix_17.5,fix_20,random_5,random_7.5,random_10,random_12.5,random_15,random_17.5,random_20,common_instructions_time,treatment1_instructions_time,treatment2_instructions_time,treatment3_instructions_time,treatment4_instructions_time,sample,race_other_grouped,occupation_other_grouped,completion_prop,completion_rate,mistake_rate,recorded_mistake_rate
2025-04-25T20:44:21Z,4,strict,4,4,0,32,32,0,Male,Asian,NA,19,"200,000 and over",College degree or above,Yes,Student,NA,No,No for both targets,NA,NA,Did not care about target(s),NA,NA,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,7.18,NA,NA,NA,2.149,macro,NA,NA,1,6.4,0,0
2025-04-25T20:46:14Z,4,lenient,3,3,0,21,21,1,Female,Asian,NA,22,"200,000 and over",College degree or above,Yes,Student,NA,Yes,Yes for both targets.,30,2,NA,NA,NA,0,0,0,20,25,30,80,0,0,0,0,0,0,0,4.545,NA,NA,NA,31.071,macro,NA,NA,1,4.2,4.761904761904762,1.1904761904761905
2025-04-25T20:46:17Z,1,strict,5,5,0,22,22,0,Non-binary,White,NA,20,"200,000 and over",College degree or above,Yes,Student,NA,No,NA,20,5,NA,NA,NA,1000,1000,1000,1000,800,1000,900,1000,500,800,1000,900,700,600,19.031,2.208,NA,NA,NA,macro,NA,NA,1,4.4,0,0
2025-04-25T20:46:22Z,3,strict,4,4,0,22,22,0,Male,Asian,NA,21,"200,000 and over",College degree or above,Yes,Student,NA,No,Yes but only for accuracy target,20,NA,Other,"Hard to achieve both accuracy and speed, but I determined that the speed in which I complete the set would be only marginally different",Yes,0,0,0,250,500,1000,1000,0,0,0,400,400,500,1000,5.171,NA,NA,15.742,NA,macro,NA,NA,1,4.4,0,0
2025-04-25T20:47:05Z,2,lenient,6,6,0,35,35,0,Female,Asian,NA,19,"200,000 and over",College degree or above,Yes,Student,NA,No,Yes but only for accuracy target,45,4,Other,focused more on accuracy than completion,Yes,5,7,10,12,15,17,20,5,7,10,10,16,15,20,20.028,NA,102.271,NA,NA,macro,NA,NA,1,7,0,0
2025-04-25T20:47:06Z,2,lenient,4,4,0,23,23,0,Female,Asian,NA,19,"120,000 - 199,999",College degree or above,Yes,Student,NA,No,Yes for both targets.,45,0,NA,NA,Yes,50,75,100,125,150,175,200,50,50,100,100,100,100,100,30.518,NA,32.62,NA,NA,macro,NA,NA,1,4.6,0,0
2025-04-25T20:47:19Z,4,lenient,6,6,5,25,25,13,Female,Asian,NA,19,"200,000 and over",College degree or above,Yes,Student,NA,No,Yes but only for accuracy target,23,1,Too difficult to achieve target(s),NA,NA,20,25,30,40,50,75,100,20,25,70,40,50,70,100,13.201,NA,NA,NA,40.061,macro,NA,NA,1,5,52,13
2025-04-25T20:48:08Z,1,strict,4,4,0,24,24,0,Male,Hispanic,NA,19,"200,000 and over",College degree or above,Yes,Student,NA,No,NA,20,0,NA,NA,NA,100,150,200,300,400,500,750,100,200,300,400,500,600,750,20.034,19.136,NA,NA,NA,macro,NA,NA,1,4.8,0,0
2025-04-25T20:48:52Z,4,lenient,5,5,0,31,31,3,Female,Asian,NA,19,"120,000 - 199,999",College degree or above,Yes,Student,NA,Yes,Yes but only for accuracy target,30,5,Did not care about target(s),NA,NA,1000,1000,1000,1000,1000,1000,1000,200,500,700,1000,1000,1000,500,7.058,NA,NA,NA,20.786,macro,NA,NA,1,6.2,9.67741935483871,2.4193548387096775
2025-04-25T21:01:34Z,3,lenient,5,5,0,29,29,2,Female,Black,NA,20,"200,000 and over",College degree or above,Yes,Student,NA,No,Yes for both targets.,NA,NA,NA,NA,Yes,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,59.743,NA,NA,52.648,NA,macro,NA,NA,1,5.8,6.896551724137931,1.7241379310344827
2025-04-25T21:01:49Z,3,strict,7,7,7,20,20,3,Female,Mixed,Mixed,19,"200,000 and over",College degree or above,Yes,Student,NA,No,Yes but only for accuracy target,15,3,Other,Forgot set completion target,No,100,100,100,100,100,100,100,100,100,100,100,100,100,100,61.449,NA,NA,389.981,NA,macro,Mixed,NA,1,4,15,15
2025-04-25T21:09:35Z,1,strict,5,5,0,21,21,1,Female,Asian,NA,NA,NA,College degree or above,Yes,Student,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,5.94,0.842,NA,NA,NA,macro,NA,NA,1,4.2,4.761904761904762,4.761904761904762
2025-04-25T21:12:35Z,2,lenient,5,5,1,27,27,2,Female,Asian,NA,NA,NA,College degree or above,Yes,Student,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.116,NA,164.105,NA,NA,macro,NA,NA,1,5.4,7.4074074074074066,1.8518518518518516
2025-04-25T21:13:13Z,2,lenient,4,4,0,18,18,1,Female,Hispanic,NA,22,"75,000 - 119,999",College degree or above,Yes,Student,NA,No,Yes for both targets.,20,2,NA,NA,Yes,50,80,90,100,160,170,200,10,12,15,17,18,25,500,55.071,NA,117.347,NA,NA,macro,NA,NA,1,3.6,5.555555555555555,1.3888888888888888
2025-04-25T21:22:56Z,4,lenient,4,4,1,24,24,0,Female,Hispanic,NA,19,"120,000 - 199,999",College degree or above,Yes,Student,NA,Yes,Yes for both targets.,45,0,NA,NA,NA,100,100,0,150,100,300,500,100,200,100,300,500,500,500,29.365,NA,NA,NA,42.465,macro,NA,NA,1,4.8,0,0
2025-04-25T21:42:42Z,2,strict,5,5,0,30,29,1,Male,White,NA,21,"200,000 and over",College degree or above,Yes,Student,NA,No,Yes for both targets.,10,11,NA,NA,No,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,4.33,NA,6.251,NA,NA,macro,NA,NA,0.9666666666666667,5.8,3.3333333333333335,3.3333333333333335
2025-04-25T22:04:57Z,3,strict,5,5,0,24,23,1,Female,Asian,NA,19,"200,000 and over",College degree or above,Yes,Student,NA,Yes,Yes for both targets.,45,4,NA,NA,Yes,10,10,10,10,10,10,10,5,10,5,10,10,15,20,13.322,NA,NA,23.721,NA,macro,NA,NA,0.9583333333333334,4.6,4.166666666666666,4.166666666666666
2025-04-25T22:35:09Z,1,strict,6,6,0,26,26,1,Female,White,NA,20,"75,000 - 119,999",College degree or above,Yes,Student,NA,Yes,NA,NA,0,NA,NA,NA,0,0,0,500,750,800,1000,0,300,500,500,700,800,1000,14.704,3.797,NA,NA,NA,macro,NA,NA,1,5.2,3.8461538461538463,3.8461538461538463
2025-04-25T22:56:30Z,3,strict,3,3,0,17,17,0,Female,White,NA,20,"200,000 and over",College degree or above,Yes,Student,NA,No,Yes but only for accuracy target,18,0,Too difficult to achieve target(s),NA,No,0,100,200,500,150,50,700,0,0,0,10,20,40,50,11.968,NA,NA,10.832,NA,macro,NA,NA,1,3.4,0,0
2025-04-26T00:40:29Z,1,strict,4,4,0,24,23,1,Female,White,NA,20,"200,000 and over",College degree or above,Yes,Student,NA,Yes,NA,NA,0,NA,NA,NA,0,0,0,0,20,20,20,0,0,0,0,0,10,10,28.672,9.887,NA,NA,NA,macro,NA,NA,0.9583333333333334,4.6,4.166666666666666,4.166666666666666
2025-04-26T00:47:07Z,3,strict,4,4,1,32,32,1,Male,Asian,NA,20,"200,000 and over",College degree or above,Yes,Student,NA,Yes,Yes for both targets.,45,0,NA,NA,No,20,7,10,100,100,100,100,20,20,50,60,80,75,150,65.648,NA,NA,98.386,NA,macro,NA,NA,1,6.4,3.125,3.125
2025-04-26T00:56:51Z,4,lenient,5,5,0,35,35,4,Male,Hispanic,NA,20,NA,College degree or above,Yes,Student,NA,No,Yes but only for accuracy target,37.5,2.5,Too difficult to achieve target(s),NA,NA,50,50,75,75,75,100,100,100,40,40,40,50,50,60,2.238,NA,NA,NA,36.049,macro,NA,NA,1,7,11.428571428571429,2.857142857142857
2025-04-26T01:30:23Z,4,lenient,5,5,0,33,33,0,Male,White,NA,20,"200,000 and over",College degree or above,Yes,Student,NA,No,Yes for both targets.,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.379,NA,NA,NA,20.932,macro,NA,NA,1,6.6,0,0
2025-04-26T01:45:57Z,2,lenient,5,5,2,26,26,2,Female,Asian,NA,19,"200,000 and over",College degree or above,Yes,Student,NA,Yes,Yes for both targets.,NA,3,NA,NA,No,0,0,0,0,0,0,0,0,0,0,0,0,5,10,31.365,NA,20.107,NA,NA,macro,NA,NA,1,5.2,7.6923076923076925,1.9230769230769231
2025-04-26T02:26:17Z,4,lenient,4,4,1,16,16,0,Male,Hispanic,NA,20,"200,000 and over",College degree or above,Yes,Student,NA,No,Yes but only for accuracy target,30,0,Too difficult to achieve target(s),NA,NA,20,25,28,30,35,40,50,20,30,35,35,35,40,40,14.538,NA,NA,NA,34.427,macro,NA,NA,1,3.2,0,0
2025-04-26T03:43:22Z,1,strict,3,3,0,23,23,0,Female,Asian,NA,21,"200,000 and over",College degree or above,Yes,Student,NA,No,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,500,NA,50,NA,NA,NA,150,NA,200,15.334,3.508,NA,NA,NA,macro,NA,NA,1,4.6,0,0
2025-04-26T05:33:32Z,2,strict,6,6,1,27,27,1,Female,Asian,NA,19,"200,000 and over",College degree or above,Yes,Student,NA,Yes,Yes but only for accuracy target,45,3,Too difficult to achieve target(s),NA,Yes,0,50,50,100,100,100,100,20,100,100,100,100,100,100,44.801,NA,43.018,NA,NA,macro,NA,NA,1,5.4,3.7037037037037033,3.7037037037037033
2025-04-26T06:00:13Z,4,lenient,6,6,0,26,26,0,Male,White,NA,20,"200,000 and over",College degree or above,Yes,Student,NA,No,Yes for both targets.,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.505,NA,NA,NA,13.365,macro,NA,NA,1,5.2,0,0
2025-04-26T15:00:23Z,1,strict,5,5,0,28,28,0,Male,White,NA,19,"200,000 and over",College degree or above,Yes,Student,NA,Yes,NA,NA,0,NA,NA,NA,0,0,50,400,600,800,1000,0,0,50,75,100,200,300,5.693,5.403,NA,NA,NA,macro,NA,NA,1,5.6,0,0
2025-04-26T15:10:44Z,1,strict,4,4,0,32,32,0,Male,White,NA,21,"120,000 - 199,999",College degree or above,Yes,Student,NA,No,NA,40,0,NA,NA,NA,100,150,200,300,500,600,750,100,250,300,400,425,450,500,38.53,9.029,NA,NA,NA,macro,NA,NA,1,6.4,0,0
2025-04-26T17:00:31Z,4,lenient,4,4,0,27,25,2,Female,Asian,NA,22,"200,000 and over",College degree or above,Yes,Student,NA,Yes,Yes for both targets.,30,5,NA,NA,NA,80,100,120,150,200,300,400,10,50,70,80,100,300,500,22.171,NA,NA,NA,5.836,macro,NA,NA,0.9259259259259259,5,7.4074074074074066,1.8518518518518516
2025-04-26T17:31:09Z,3,strict,6,6,3,33,32,1,Male,Hispanic,NA,19,"200,000 and over",College degree or above,Yes,Student,NA,No,Yes for both targets.,45,1,NA,NA,Yes,0,0,0,1000,1000,1000,1000,0,0,0,500,500,1000,1000,12.811,NA,NA,14.568,NA,macro,NA,NA,0.9696969696969697,6.4,3.0303030303030303,3.0303030303030303
2025-04-26T18:31:24Z,1,strict,6,6,0,30,30,0,Male,White,NA,19,"200,000 and over",College degree or above,Yes,Student,NA,No,NA,NA,NA,NA,NA,NA,0,0,0,1000,1000,1000,1000,0,100,100,100,1000,1000,1000,20.06,9.223,NA,NA,NA,macro,NA,NA,1,6,0,0
2025-04-26T18:38:48Z,1,strict,5,5,0,28,28,0,Female,Asian,NA,19,NA,College degree or above,Yes,Student,NA,No,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.571,16.275,NA,NA,NA,macro,NA,NA,1,5.6,0,0
2025-04-26T19:30:23Z,2,lenient,6,6,0,18,18,0,Female,Asian,NA,19,"120,000 - 199,999",College degree or above,Yes,Student,NA,Yes,Yes for both targets.,10,0,NA,NA,Yes,2,6,8,9,10,11,15,11,13,22,11,22,12,11,3.421,NA,2.276,NA,NA,macro,NA,NA,1,3.6,0,0
2025-04-26T19:42:35Z,1,strict,4,4,0,23,23,0,Male,Hispanic,NA,23,"120,000 - 199,999",College degree or above,Yes,Student,NA,Yes,NA,NA,NA,NA,NA,NA,20,30,20,30,50,100,100,20,50,50,100,100,75,200,9.226,2.67,NA,NA,NA,macro,NA,NA,1,4.6,0,0
2025-04-26T19:45:33Z,4,lenient,4,4,0,24,24,0,Female,Asian,NA,19,"75,000 - 119,999",College degree or above,Yes,Student,NA,No,Yes for both targets.,25,0,NA,NA,NA,50,200,100,300,800,900,1000,50,200,200,500,300,300,400,30.567,NA,NA,NA,54.569,macro,NA,NA,1,4.8,0,0
2025-04-27T00:51:16Z,1,strict,3,3,0,21,21,0,Male,Black,NA,23,"200,000 and over",College degree or above,Yes,Student,NA,No,NA,NA,NA,NA,NA,NA,200,350,500,650,750,850,950,50,200,400,600,750,800,900,10.461,8.101,NA,NA,NA,macro,NA,NA,1,4.2,0,0
2025-04-27T02:16:28Z,4,lenient,7,7,7,29,29,2,Male,Asian,NA,20,"200,000 and over",College degree or above,Yes,Student,NA,No,Yes for both targets.,40,2,NA,NA,NA,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,20.087,NA,NA,NA,77.974,macro,NA,NA,1,5.8,6.896551724137931,1.7241379310344827
2025-04-27T02:39:55Z,1,strict,6,6,0,28,28,0,NA,NA,NA,NA,NA,College degree or above,Yes,Student,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.129,8.477,NA,NA,NA,macro,NA,NA,1,5.6,0,0
2025-04-27T15:25:00Z,4,lenient,6,6,0,36,36,0,Male,White,NA,19,"200,000 and over",College degree or above,Yes,Student,NA,No,Yes for both targets.,45,0,NA,NA,NA,0,200,500,1000,1000,1000,1000,0,0,0,0,100,100,100,45.778,NA,NA,NA,42.958,macro,NA,NA,1,7.2,0,0
2025-04-27T17:17:14Z,3,strict,5,4,1,27,27,4,Male,Hispanic,NA,21,"200,000 and over",College degree or above,Yes,Student,NA,Yes,Yes for both targets.,NA,4,NA,NA,Yes,20,20,20,20,20,20,20,20,20,20,20,20,20,20,40.712,NA,NA,39.135,NA,macro,NA,NA,1,5.4,14.814814814814813,14.814814814814813
2025-04-27T18:26:20Z,3,strict,6,6,0,29,29,1,Male,Asian,NA,21,"50,000 - 74,999",College degree or above,Yes,Student,NA,Yes,Yes for both targets.,20,0,NA,NA,No,500,800,600,900,700,750,1000,5,8,10,12,15,17,20,4.91,NA,NA,10.203,NA,macro,NA,NA,1,5.8,3.4482758620689653,3.4482758620689653
