RecordedDate,Finished,treatment,criterion,demo_sets_attempted,demo_sets_completed,demo_mistakes,sets_attempted,sets_completed,mistakes,Q5.1,Q5.2,Q5.2_7_TEXT,Q5.3,Q5.4,Q5.7,Q5.8,Q5.9,Q5.10,Q5.11,Q5.11_4_TEXT,Q5.12,Q6.1_1,Q6.1_3,Q6.1_4,Q6.1_5,Q6.1_6,Q6.1_2,Q6.1_7,Q7.1_1,Q7.1_3,Q7.1_4,Q7.1_5,Q7.1_6,Q7.1_2,Q7.1_9,Q2.1_Page Submit,Q262_Page Submit,Q21.1_Page Submit,Q22.1_Page Submit,Q23.1_Page Submit
Recorded Date,Finished,treatment,criterion,demo_sets_attempted,demo_sets_completed,demo_mistakes,sets_attempted,sets_completed,mistakes,Gender,Race - Selected Choice,Race - Other - Text,Year of birth,Annual household income (in USD),Did you use a mouse to complete the task?,Did you try to achieve the targets for the task?,"During the task, how many sets did you aim to complete?","During the task, how many mistakes did you aim to limit yourself to?","If you did not try to achieve one or both of the set targets, why? - Selected Choice","If you did not try to achieve one or both of the set targets, why? - Other - Text","Did the explanation of how to achieve both targets, including the table, make it easier and/or make you more motivated to achieve both targets?","Imagine you are asked to do the same slider task, where all mistakes made will be caught and counted, and you are paid per correctly completed set at the different rates shown below. For each rate, please indicate the number of tasks (between 0 and 1000) you would be willing to attempt. - 5 cents","Imagine you are asked to do the same slider task, where all mistakes made will be caught and counted, and you are paid per correctly completed set at the different rates shown below. For each rate, please indicate the number of tasks (between 0 and 1000) you would be willing to attempt. - 7.5 cents","Imagine you are asked to do the same slider task, where all mistakes made will be caught and counted, and you are paid per correctly completed set at the different rates shown below. For each rate, please indicate the number of tasks (between 0 and 1000) you would be willing to attempt. - 10 cents","Imagine you are asked to do the same slider task, where all mistakes made will be caught and counted, and you are paid per correctly completed set at the different rates shown below. For each rate, please indicate the number of tasks (between 0 and 1000) you would be willing to attempt. - 12.5 cents","Imagine you are asked to do the same slider task, where all mistakes made will be caught and counted, and you are paid per correctly completed set at the different rates shown below. For each rate, please indicate the number of tasks (between 0 and 1000) you would be willing to attempt. - 15 cents","Imagine you are asked to do the same slider task, where all mistakes made will be caught and counted, and you are paid per correctly completed set at the different rates shown below. For each rate, please indicate the number of tasks (between 0 and 1000) you would be willing to attempt. - 17.5 cents","Imagine you are asked to do the same slider task, where all mistakes made will be caught and counted, and you are paid per correctly completed set at the different rates shown below. For each rate, please indicate the number of tasks (between 0 and 1000) you would be willing to attempt. - 20 cents","Imagine you are asked to do the same slider task, where all mistakes made will be caught and counted, and you are paid per correctly completed set at the different rates shown below. For each rate, please indicate the number of tasks (between 0 and 1000) you would be willing to attempt. - 50% chance of 2 cents,                 50% chance of 8 cents","Imagine you are asked to do the same slider task, where all mistakes made will be caught and counted, and you are paid per correctly completed set at the different rates shown below. For each rate, please indicate the number of tasks (between 0 and 1000) you would be willing to attempt. - 50% chance of 4 cents,                 50% chance of 11 cents","Imagine you are asked to do the same slider task, where all mistakes made will be caught and counted, and you are paid per correctly completed set at the different rates shown below. For each rate, please indicate the number of tasks (between 0 and 1000) you would be willing to attempt. - 50% chance of 5 cents,                 50% chance of 15 cents","Imagine you are asked to do the same slider task, where all mistakes made will be caught and counted, and you are paid per correctly completed set at the different rates shown below. For each rate, please indicate the number of tasks (between 0 and 1000) you would be willing to attempt. - 50% chance of 6 cents,                 50% chance of 19 cents","Imagine you are asked to do the same slider task, where all mistakes made will be caught and counted, and you are paid per correctly completed set at the different rates shown below. For each rate, please indicate the number of tasks (between 0 and 1000) you would be willing to attempt. - 50% chance of 8 cents,                 50% chance of 22 cents","Imagine you are asked to do the same slider task, where all mistakes made will be caught and counted, and you are paid per correctly completed set at the different rates shown below. For each rate, please indicate the number of tasks (between 0 and 1000) you would be willing to attempt. - 50% chance of 9 cents,                 50% chance of 26 cents","Imagine you are asked to do the same slider task, where all mistakes made will be caught and counted, and you are paid per correctly completed set at the different rates shown below. For each rate, please indicate the number of tasks (between 0 and 1000) you would be willing to attempt. - 50% chance of 10 cents,               50% chance of 30 cents",Timing - Page Submit,Timing - Page Submit,Timing - Page Submit,Timing - Page Submit,Timing - Page Submit
"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""finished""}","{""ImportId"":""treatment""}","{""ImportId"":""criterion""}","{""ImportId"":""demo_sets_attempted""}","{""ImportId"":""demo_sets_completed""}","{""ImportId"":""demo_mistakes""}","{""ImportId"":""sets_attempted""}","{""ImportId"":""sets_completed""}","{""ImportId"":""mistakes""}","{""ImportId"":""QID1321394801""}","{""ImportId"":""QID1321394818""}","{""ImportId"":""QID1321394818_7_TEXT""}","{""ImportId"":""QID1321394802_TEXT""}","{""ImportId"":""QID1321394803""}","{""ImportId"":""QID1321394813""}","{""ImportId"":""QID1321394819""}","{""ImportId"":""QID1321394831_TEXT""}","{""ImportId"":""QID1321394832_TEXT""}","{""ImportId"":""QID1321394833""}","{""ImportId"":""QID1321394833_4_TEXT""}","{""ImportId"":""QID1321394808""}","{""ImportId"":""QID1321394809_1""}","{""ImportId"":""QID1321394809_3""}","{""ImportId"":""QID1321394809_4""}","{""ImportId"":""QID1321394809_5""}","{""ImportId"":""QID1321394809_6""}","{""ImportId"":""QID1321394809_2""}","{""ImportId"":""QID1321394809_7""}","{""ImportId"":""QID1321394810_1""}","{""ImportId"":""QID1321394810_3""}","{""ImportId"":""QID1321394810_4""}","{""ImportId"":""QID1321394810_5""}","{""ImportId"":""QID1321394810_6""}","{""ImportId"":""QID1321394810_2""}","{""ImportId"":""QID1321394810_9""}","{""ImportId"":""QID51_PAGE_SUBMIT""}","{""ImportId"":""QID1321394610_PAGE_SUBMIT""}","{""ImportId"":""QID1321394834_PAGE_SUBMIT""}","{""ImportId"":""QID1321394835_PAGE_SUBMIT""}","{""ImportId"":""QID1321394836_PAGE_SUBMIT""}"
2025-04-25 15:44:21,True,4,strict,4,4,0,32,32,0,Male,Asian,,2006,"200,000 and over",No,No for both targets,I was just doing them didn't really worry about much about how many sets.,zero,Did not care about target(s),,,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,7.18,,,,2.149
2025-04-25 15:46:14,True,4,lenient,3,3,0,21,21,1,Female,Asian,,2003,"200,000 and over",Yes,Yes for both targets.,30,2,,,,0,0,0,20,25,30,80,0,0,0,0,0,0,0,4.545,,,,31.071
2025-04-25 15:46:17,True,1,strict,5,5,0,22,22,0,Non-binary,White,,2005,"200,000 and over",No,,20,5,,,,1000,1000,1000,1000,800,1000,900,1000,500,800,1000,900,700,600,19.031,2.208,,,
2025-04-25 15:46:22,True,3,strict,4,4,0,22,22,0,Male,Asian,,2004,"200,000 and over",No,Yes but only for accuracy target,around 20 or so,Absolutely none.,Other,"Hard to achieve both accuracy and speed, but I determined that the speed in which I complete the set would be only marginally different",Yes,0,0,0,250,500,1000,1000,0,0,0,400,400,500,1000,5.171,,,15.742,
2025-04-25 15:47:05,True,2,lenient,6,6,0,35,35,0,Female,Asian,,2006,"200,000 and over",No,Yes but only for accuracy target,45,4,Other,focused more on accuracy than completion,Yes,5,7,10,12,15,17,20,5,7,10,10,16,15,20,20.028,,102.271,,
2025-04-25 15:47:06,True,2,lenient,4,4,0,23,23,0,Female,Asian,,2006,"120,000 - 199,999",No,Yes for both targets.,45,0,,,Yes,50,75,100,125,150,175,200,50,50,100,100,100,100,100,30.518,,32.62,,
2025-04-25 15:47:19,True,4,lenient,6,6,5,25,25,13,Female,Asian,,2006,"200,000 and over",No,Yes but only for accuracy target,"23, just over half of the 45 I was supposed to because I know I have slow reaction time",1 per set,Too difficult to achieve target(s),,,20,25,30,40,50,75,100,20,25,70,40,50,70,100,13.201,,,,40.061
2025-04-25 15:48:08,True,1,strict,4,4,0,24,24,0,Male,Hispanic,,2006,"200,000 and over",No,,20,0,,,,100,150,200,300,400,500,750,100,200,300,400,500,600,750,20.034,19.136,,,
