recordeddate,treatment,criterion,demo_sets_attempted,demo_sets_completed,demo_mistakes,sets_attempted,sets_completed,mistakes,gender,race,race_other,age,income,edu,econ,occupation,occupation_other,mouse,targets_achieve_attempt,sets_completed_goal,mistakes_goal,targets_ignore_reason,targets_ignore_reason_other,targets_explanation_help,fix_5,fix_7.5,fix_10,fix_12.5,fix_15,fix_17.5,fix_20,random_5,random_7.5,random_10,random_12.5,random_15,random_17.5,random_20,common_instructions_time,treatment1_instructions_time,treatment2_instructions_time,treatment3_instructions_time,treatment4_instructions_time,sample,race_other_grouped,occupation_other_grouped,completion_prop,completion_rate,mistake_rate,recorded_mistake_rate
2025-04-24T15:27:04Z,1,strict,5,5,0,21,21,1,Male,White,NA,19,"75,000 - 119,999",College degree or above,Yes,Student,NA,No,NA,NA,1,NA,NA,NA,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,37.816,13.338,NA,NA,NA,micro,NA,NA,1,4.2,4.761904761904762,4.761904761904762
2025-04-24T15:27:39Z,2,lenient,4,4,0,22,16,14,Female,Asian,NA,20,"0 - 24,999",College degree or above,Yes,Student,NA,No,Yes for both targets.,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.218,NA,8.351,NA,NA,micro,NA,NA,0.7272727272727273,3.2,63.63636363636363,15.909090909090908
2025-04-24T15:27:40Z,4,lenient,4,4,0,17,17,0,Male,White,NA,19,"200,000 and over",College degree or above,Yes,Student,NA,No,Yes for both targets.,20,0,NA,NA,NA,0,0,50,50,50,50,50,0,20,0,20,20,50,20,11.56,NA,NA,NA,6.791,micro,NA,NA,1,3.4,0,0
2025-04-24T15:27:46Z,1,strict,6,6,0,26,26,1,Male,Asian,NA,19,"200,000 and over",College degree or above,Yes,Student,NA,No,NA,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.907,8.143,NA,NA,NA,micro,NA,NA,1,5.2,3.8461538461538463,3.8461538461538463
2025-04-24T15:27:47Z,3,strict,6,6,0,25,24,1,Male,Asian,NA,19,"200,000 and over",College degree or above,Yes,Student,NA,No,Yes for both targets.,NA,0,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.113,NA,NA,9.02,NA,micro,NA,NA,0.96,4.8,4,4
2025-04-24T15:27:53Z,4,lenient,6,6,0,31,31,0,Female,Asian,NA,19,"200,000 and over",College degree or above,Yes,Student,NA,Yes,Yes but only for accuracy target,NA,NA,Did not care about target(s),NA,NA,10,20,60,50,70,75,100,10,40,30,30,20,30,50,23.144,NA,NA,NA,19.137,micro,NA,NA,1,6.2,0,0
2025-04-24T15:28:50Z,1,strict,5,5,0,26,26,1,Male,Asian,NA,21,"75,000 - 119,999",College degree or above,Yes,Student,NA,No,NA,NA,0,NA,NA,NA,1000,1000,1000,1000,1000,1000,1000,10,10,10,10,10,10,10,17.017,25.27,NA,NA,NA,micro,NA,NA,1,5.2,3.8461538461538463,3.8461538461538463
2025-04-24T15:28:59Z,4,strict,6,6,0,27,27,0,Male,White,NA,20,"200,000 and over",College degree or above,Yes,Student,NA,No,Yes for both targets.,NA,0,NA,NA,NA,0,0,1000,500,1000,1000,1000,0,500,100,1000,600,800,1000,28.342,NA,NA,NA,12.994,micro,NA,NA,1,5.4,0,0
2025-04-24T15:29:10Z,3,strict,3,3,0,21,21,1,Male,Hispanic,NA,19,"25,000 - 49,999",College degree or above,Yes,Student,NA,No,Yes but only for accuracy target,25,0,NA,NA,Yes,25,30,40,55,70,85,100,20,50,60,75,80,100,150,30.038,NA,NA,52.867,NA,micro,NA,NA,1,4.2,4.761904761904762,4.761904761904762
2025-04-24T15:29:16Z,2,lenient,4,4,0,28,28,1,Male,Asian,NA,20,"200,000 and over",College degree or above,Yes,Student,NA,Yes,Yes but only for accuracy target,20,0.5,Other,Making a mistake would not save me much time.,Yes,100,500,250,750,200,1000,1000,0,0,500,250,750,1000,1000,12.456,NA,22.938,NA,NA,micro,NA,NA,1,5.6,3.571428571428571,0.8928571428571428
