RecordedDate,Finished,treatment,criterion,demo_sets_attempted,demo_sets_completed,demo_mistakes,sets_attempted,sets_completed,mistakes,Q5.1,Q5.2,Q5.2_7_TEXT,Q5.3,Q5.4,Q5.7,Q5.8,Q5.9,Q5.10,Q5.11,Q5.11_4_TEXT,Q5.12,Q6.1_1,Q6.1_3,Q6.1_4,Q6.1_5,Q6.1_6,Q6.1_2,Q6.1_7,Q7.1_1,Q7.1_3,Q7.1_4,Q7.1_5,Q7.1_6,Q7.1_2,Q7.1_9,Q2.1_Page Submit,Q262_Page Submit,Q21.1_Page Submit,Q22.1_Page Submit,Q23.1_Page Submit
Recorded Date,Finished,treatment,criterion,demo_sets_attempted,demo_sets_completed,demo_mistakes,sets_attempted,sets_completed,mistakes,Gender,Race - Selected Choice,Race - Other - Text,Year of birth,Annual household income (in USD),Did you use a mouse to complete the task?,Did you try to achieve the targets for the task?,"During the task, how many sets did you aim to complete?","During the task, how many mistakes did you aim to limit yourself to?","If you did not try to achieve one or both of the set targets, why? - Selected Choice","If you did not try to achieve one or both of the set targets, why? - Other - Text","Did the explanation of how to achieve both targets, including the table, make it easier and/or make you more motivated to achieve both targets?","Imagine you are asked to do the same slider task, where all mistakes made will be caught and counted, and you are paid per correctly completed set at the different rates shown below. For each rate, please indicate the number of tasks (between 0 and 1000) you would be willing to attempt. - 5 cents","Imagine you are asked to do the same slider task, where all mistakes made will be caught and counted, and you are paid per correctly completed set at the different rates shown below. For each rate, please indicate the number of tasks (between 0 and 1000) you would be willing to attempt. - 7.5 cents","Imagine you are asked to do the same slider task, where all mistakes made will be caught and counted, and you are paid per correctly completed set at the different rates shown below. For each rate, please indicate the number of tasks (between 0 and 1000) you would be willing to attempt. - 10 cents","Imagine you are asked to do the same slider task, where all mistakes made will be caught and counted, and you are paid per correctly completed set at the different rates shown below. For each rate, please indicate the number of tasks (between 0 and 1000) you would be willing to attempt. - 12.5 cents","Imagine you are asked to do the same slider task, where all mistakes made will be caught and counted, and you are paid per correctly completed set at the different rates shown below. For each rate, please indicate the number of tasks (between 0 and 1000) you would be willing to attempt. - 15 cents","Imagine you are asked to do the same slider task, where all mistakes made will be caught and counted, and you are paid per correctly completed set at the different rates shown below. For each rate, please indicate the number of tasks (between 0 and 1000) you would be willing to attempt. - 17.5 cents","Imagine you are asked to do the same slider task, where all mistakes made will be caught and counted, and you are paid per correctly completed set at the different rates shown below. For each rate, please indicate the number of tasks (between 0 and 1000) you would be willing to attempt. - 20 cents","Imagine you are asked to do the same slider task, where all mistakes made will be caught and counted, and you are paid per correctly completed set at the different rates shown below. For each rate, please indicate the number of tasks (between 0 and 1000) you would be willing to attempt. - 50% chance of 2 cents,                 50% chance of 8 cents","Imagine you are asked to do the same slider task, where all mistakes made will be caught and counted, and you are paid per correctly completed set at the different rates shown below. For each rate, please indicate the number of tasks (between 0 and 1000) you would be willing to attempt. - 50% chance of 4 cents,                 50% chance of 11 cents","Imagine you are asked to do the same slider task, where all mistakes made will be caught and counted, and you are paid per correctly completed set at the different rates shown below. For each rate, please indicate the number of tasks (between 0 and 1000) you would be willing to attempt. - 50% chance of 5 cents,                 50% chance of 15 cents","Imagine you are asked to do the same slider task, where all mistakes made will be caught and counted, and you are paid per correctly completed set at the different rates shown below. For each rate, please indicate the number of tasks (between 0 and 1000) you would be willing to attempt. - 50% chance of 6 cents,                 50% chance of 19 cents","Imagine you are asked to do the same slider task, where all mistakes made will be caught and counted, and you are paid per correctly completed set at the different rates shown below. For each rate, please indicate the number of tasks (between 0 and 1000) you would be willing to attempt. - 50% chance of 8 cents,                 50% chance of 22 cents","Imagine you are asked to do the same slider task, where all mistakes made will be caught and counted, and you are paid per correctly completed set at the different rates shown below. For each rate, please indicate the number of tasks (between 0 and 1000) you would be willing to attempt. - 50% chance of 9 cents,                 50% chance of 26 cents","Imagine you are asked to do the same slider task, where all mistakes made will be caught and counted, and you are paid per correctly completed set at the different rates shown below. For each rate, please indicate the number of tasks (between 0 and 1000) you would be willing to attempt. - 50% chance of 10 cents,               50% chance of 30 cents",Timing - Page Submit,Timing - Page Submit,Timing - Page Submit,Timing - Page Submit,Timing - Page Submit
"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""finished""}","{""ImportId"":""treatment""}","{""ImportId"":""criterion""}","{""ImportId"":""demo_sets_attempted""}","{""ImportId"":""demo_sets_completed""}","{""ImportId"":""demo_mistakes""}","{""ImportId"":""sets_attempted""}","{""ImportId"":""sets_completed""}","{""ImportId"":""mistakes""}","{""ImportId"":""QID1321394801""}","{""ImportId"":""QID1321394818""}","{""ImportId"":""QID1321394818_7_TEXT""}","{""ImportId"":""QID1321394802_TEXT""}","{""ImportId"":""QID1321394803""}","{""ImportId"":""QID1321394813""}","{""ImportId"":""QID1321394819""}","{""ImportId"":""QID1321394831_TEXT""}","{""ImportId"":""QID1321394832_TEXT""}","{""ImportId"":""QID1321394833""}","{""ImportId"":""QID1321394833_4_TEXT""}","{""ImportId"":""QID1321394808""}","{""ImportId"":""QID1321394809_1""}","{""ImportId"":""QID1321394809_3""}","{""ImportId"":""QID1321394809_4""}","{""ImportId"":""QID1321394809_5""}","{""ImportId"":""QID1321394809_6""}","{""ImportId"":""QID1321394809_2""}","{""ImportId"":""QID1321394809_7""}","{""ImportId"":""QID1321394810_1""}","{""ImportId"":""QID1321394810_3""}","{""ImportId"":""QID1321394810_4""}","{""ImportId"":""QID1321394810_5""}","{""ImportId"":""QID1321394810_6""}","{""ImportId"":""QID1321394810_2""}","{""ImportId"":""QID1321394810_9""}","{""ImportId"":""QID51_PAGE_SUBMIT""}","{""ImportId"":""QID1321394610_PAGE_SUBMIT""}","{""ImportId"":""QID1321394834_PAGE_SUBMIT""}","{""ImportId"":""QID1321394835_PAGE_SUBMIT""}","{""ImportId"":""QID1321394836_PAGE_SUBMIT""}"
2025-04-24 10:27:04,True,1,strict,5,5,0,21,21,1,Male,White,,2006,"75,000 - 119,999",No,,As many as possible,I didn’t want to make any mistakes at all but ended up with 1 and told myself no more after that one,,,,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,37.816,13.338,,,
2025-04-24 10:27:39,True,2,lenient,4,4,0,22,16,14,Female,Asian,,2005,"0 - 24,999",No,Yes for both targets.,,,,,No,,,,,,,,,,,,,,,13.218,,8.351,,
2025-04-24 10:27:40,True,4,lenient,4,4,0,17,17,0,Male,White,,2006,"200,000 and over",No,Yes for both targets.,20,0,,,,0,0,50,50,50,50,50,0,20,0,20,20,50,20,11.56,,,,6.791
2025-04-24 10:27:46,True,1,strict,6,6,0,26,26,1,Male,Asian,,2006,"200,000 and over",No,,30,0,,,,,,,,,,,,,,,,,,27.907,8.143,,,
2025-04-24 10:27:47,True,3,strict,6,6,0,25,24,1,Male,Asian,,2006,"200,000 and over",No,Yes for both targets.,,0,,,No,,,,,,,,,,,,,,,5.113,,,9.02,
2025-04-24 10:27:53,True,4,lenient,6,6,0,31,31,0,Female,Asian,,2006,"200,000 and over",Yes,Yes but only for accuracy target,,,Did not care about target(s),,,10,20,60,50,70,75,100,10,40,30,30,20,30,50,23.144,,,,19.137
2025-04-24 10:28:50,True,1,strict,5,5,0,26,26,1,Male,Asian,,2004,"75,000 - 119,999",No,,not aiming for a specific number of sets,0,,,,1000,1000,1000,1000,1000,1000,1000,10,10,10,10,10,10,10,17.017,25.27,,,
2025-04-24 10:28:59,True,4,strict,6,6,0,27,27,0,Male,White,,2005,"200,000 and over",No,Yes for both targets.,As many as I could,0,,,,0,0,1000,500,1000,1000,1000,0,500,100,1000,600,800,1000,28.342,,,,12.994
